model,benchmark,group,task_count,scored_count,mean_score,mean_latency_sec,mean_first_thinking_sec,mean_first_response_sec,mean_prompt_chars,mean_thinking_chars,mean_response_chars,error_count
qwen3.5:9b,livebench_reasoning,dynamic_reasoning,1,1,1.0,334.0222,3.2354,253.3247,1210.0,6726.0,2054.0,0
qwen3.5:9b,mmlu_cf,contamination_controlled_reasoning,1,1,1.0,50.6169,1.0491,50.4982,174.0,1962.0,1.0,0
qwen3.5:9b,mmlu_pro,reasoning_knowledge,1,1,1.0,132.4082,10.1109,132.3091,623.0,5427.0,1.0,0
qwen3.5:9b,mmlu_prox_lite_en,multilingual_reasoning,1,1,1.0,119.0133,2.4818,118.8965,623.0,3997.0,1.0,0
qwen3.5:9b,mmlu_prox_lite_sw,multilingual_reasoning,1,0,,927.8223,4.4023,,701.0,20173.0,0.0,1
qwen3.5:9b,mmlu_prox_lite_zh,multilingual_reasoning,1,1,1.0,368.6201,2.1952,368.4658,278.0,10052.0,1.0,0
qwen3.5:9b,simpleqa,factuality,1,0,,600.0607,0.6233,,136.0,11690.0,0.0,1
