model,think_mode,task_count,success_count,success_rate,long_think_count,long_think_rate,error_count,error_rate,scored_count,mean_score,mean_latency_sec,mean_first_thinking_sec,mean_first_response_sec,mean_think_to_response_gap_sec,mean_thinking_tail_sec,mean_prompt_chars,mean_thinking_chars,mean_response_chars
gemma4:26b,think_false,3,3,1.0000,0,0.0000,0,0.0000,3,0.6667,12.8570,,,,,682.3333,0.0000,662.0000
gemma4:26b,think_true,3,1,0.3333,2,0.6667,0,0.0000,1,1.0000,1684.2125,33.6217,1812.2836,1779.8551,1650.5908,682.3333,30314.0000,9.3333
