model,think_mode,task_count,success_count,success_rate,long_think_count,long_think_rate,error_count,error_rate,scored_count,mean_score,mean_latency_sec,mean_first_thinking_sec,mean_first_response_sec,mean_think_to_response_gap_sec,mean_thinking_tail_sec,mean_prompt_chars,mean_thinking_chars,mean_response_chars
gemma4:26b,think_true,19,17,0.8947,2,0.1053,0,0.0000,17,0.9412,179.8784,9.6539,94.8400,86.4853,170.2245,406.6842,4283.3158,0.8947
gemma4:e4b,think_true,19,19,1.0000,0,0.0000,0,0.0000,19,0.6842,51.1899,2.2922,48.4975,48.8760,51.7097,466.4211,2415.0526,123.0526
