model,think_mode,group,task_count,success_count,success_rate,long_think_count,long_think_rate,error_count,error_rate,scored_count,mean_score,mean_latency_sec,mean_first_thinking_sec,mean_first_response_sec,mean_think_to_response_gap_sec,mean_thinking_tail_sec,mean_prompt_chars,mean_thinking_chars,mean_response_chars
gemma4:26b,think_true,contamination_controlled_reasoning,8,8,1.0000,0,0.0000,0,0.0000,8,1.0000,35.4793,4.9122,35.2015,30.2894,30.5672,186.0000,1267.0000,1.0000
gemma4:26b,think_true,multilingual_reasoning,6,4,0.6667,2,0.3333,0,0.0000,4,1.0000,381.5317,11.3925,121.8795,115.1393,370.1392,526.1667,7214.1667,0.6667
gemma4:26b,think_true,reasoning_knowledge,5,5,1.0000,0,0.0000,0,0.0000,5,0.8000,168.9330,15.1544,168.6301,153.4757,153.7786,616.4000,5592.4000,1.0000
gemma4:e4b,think_true,contamination_controlled_reasoning,4,4,1.0000,0,0.0000,0,0.0000,4,1.0000,26.1606,1.0427,26.0944,25.0518,25.1179,186.0000,1621.0000,1.0000
gemma4:e4b,think_true,dynamic_reasoning,1,1,1.0000,0,0.0000,0,0.0000,1,1.0000,130.7646,3.0543,81.8463,78.7920,127.7103,1210.0000,3629.0000,2245.0000
gemma4:e4b,think_true,factuality,4,4,1.0000,0,0.0000,0,0.0000,4,0.2500,15.0261,0.8249,14.7144,18.6522,19.0189,146.5000,908.5000,19.7500
gemma4:e4b,think_true,multilingual_reasoning,6,6,1.0000,0,0.0000,0,0.0000,6,0.8333,76.7149,3.0478,76.6384,73.5906,73.6671,643.8333,3037.6667,1.0000
gemma4:e4b,think_true,reasoning_knowledge,4,4,1.0000,0,0.0000,0,0.0000,4,0.5000,54.2018,3.3183,54.1354,50.8171,50.8835,614.7500,3478.2500,1.0000
